#baby - index 0
#	proc		spml		epml
large	476560		205988.5	205988.5
medium	252880		202647		202647	
small	366466.5	126002		126002	


#cache - index 1
large	1641761		209061		209061	
medium	333934		211552		211552	
small	573177.5	159579		159579


#stdhash - index 2	
large	4120204		206683		206683	
medium	535501		209301		209301
small	644883.5	201186		201186


#stdtree - index 3	
large	4438465		205988.5	205988.5	
medium	741258		208193		208193
small	474810		207678		207678


#tiny - index 4	
large	5279921		202072		202072	
medium	2715241		202647		202647
small	1425635.5	126002		126002


#phoenix - index 5
kmeans		82363.5		47369		47369	
pca		3029240		191922		191922	
word-c	484353		207916		207916


#line - index 6
2.95	-3
2.95	1.2


#line - index 7
6.95	-3
6.95	1.2


#line - index 8
10.95	-3
10.95	1.2


#line - index 9
14.95	-3
14.95	1.2


#line - index 10
18.95	-3
18.95	1.2
