#large	- baby	0
/proc	496469		601523
SPML	5013403		490393
EPML	150810,639	244275,918


#medium	1
/proc	333903		526239
SPML	1498655		995005
EPML	115264,7	703436,881


#small
/proc	409307,5	665631,5
SPML	864398		778532
EPML	71694,44	502606,362


#large	- cache
/proc	1813360	1292131
SPML	8571616	1196807
EPML	311991	936271,848


#medium
/proc	533777		662374
SPML	2564451		1164662
EPML	116644,271	878212,944


#small
/proc	597654		500533
SPML	1179282		979601
EPML	86105,116	473948,276


#large	- stdhash
/proc	4451553		1183981
SPML	12002269	1523454
EPML	380267		1271851,524


#medium
/proc	803796		2290115
SPML	3852086		1475515
EPML	174733,812	1015230,538


#small
/proc	666708,5	319499,5
SPML	1666602		1403270
EPML	97299,5		1076675,013


#large	- stdtree
/proc	4479485		1750308
SPML	12298288	1718801
EPML	235908		1121204,062


#medium
/proc	763216		2732458
SPML	6150040		1351421
EPML	208213		1214969,184


#small
/proc	572588		1267176
SPML	2065498		1369059
EPML	114174,347	1061132,154


#large	- tiny
/proc	5473704		1357804
SPML	13771470	928904
EPML	433364		1455328,852


#medium
/proc	3645924	1653241
SPML	9243098	2225316
EPML	239030	1834260,049


#small
/proc	1498269		2083907
SPML	5687477		1209674
EPML	206843,271	1300608,091


#kmeans	- phoenix
/proc	117344		127602
SPML	1183778		123097
EPML	49167,699	180244,412


#pca
/proc	3276442		36540639
SPML	14223324	27957252
EPML	241063,738	20796554,98


#word-count
/proc	606125		1151379
SPML	2888468		1499734
EPML	135452,517	877135,926
